"","year","state_code","population","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus","female","male","married","widowed","divorced","separated","never_married_or_under_15_years_old","u_s_citizen_by_naturalization","not_a_citizen_of_the_u_s","entered_us_before_2000","entered_us_in_2000_or_later","speaks_english_less_than_very_well","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher","males_in_civilian_labor_force","females_in_civilian_labor_force","unemployed_males","unemployed_females","private_wage_and_salary_workers","government_workers","self_employed_not_incorporated","self_employed_incorporated","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2","individuals_below_poverty","individuals_above_poverty","not_determined","median_personal_earnings","median_personal_earnings_excl_0_and_neg","u_s_citizen_by_0turalization","high_school_graduate_ged_or_alter0tive_credential","fi0nce_insurance_and_real_estate","professio0l_scientific_ma0gement_and_administrative_services","transportation_warehousing_utilities_0tural_resources","ma0gement_professio0l","mainte0nce_and_repair","educatio0l_instruction_and_library_occupations","median_perso0l_earnings","median_perso0l_earnings_excl_0_and_neg","occupied_housing_units","total_number_of_family_households","family_households_in_poverty","family_households_not_in_poverty","owner_occupied_units","renter_occupied_units","under_20_percent_of_hh_income","x20_to_25_percent_of_hh_income","x25_to_30_percent_of_hh_income","x30_to_35_percent_of_hh_income","x35_percent_of_hh_income","under_15_percent_of_hh_income","x15_to_20_percent_of_hh_income","x20_to_25_percent_of_hh_income_2","x25_to_30_percent_of_hh_income_2","x30_to_35_percent_of_hh_income_2","x35_percent","crowded_units","median_household_income","x85_plus","poulation"
"11",2005,13,14326,0,1341,1304,1891,2329,2209,1471,1465,264,529,706,717,100,0,0,0,0,7421,6905,6052,100,623,253,7298,1600,12726,3993,10333,9934,1701,1677,1393,5019,6090,3575,396,209,7336,502,2300,135,377,2741,602,774,310,235,851,1778,1542,192,816,143,0,0,5069,3073,1664,2970,0,807,443,0,108,0,3695,10631,0,13000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14326
"12",2005,15,1104,0,69,0,62,174,305,137,26,0,0,28,0,0,0,0,303,0,380,724,819,0,73,0,212,624,480,900,204,276,0,404,337,232,421,174,65,79,313,0,282,0,153,73,0,28,0,0,79,26,0,0,196,68,0,0,553,0,224,73,0,147,81,0,26,0,0,1104,0,15900,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104
"13",2005,16,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,82,0,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,82,0,0,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"14",2005,17,3537,0,69,518,0,175,81,163,307,538,547,252,738,0,79,70,0,0,2332,1205,1948,0,692,83,814,2538,999,2927,610,847,70,433,1126,1321,702,1468,266,0,2024,526,301,0,0,0,434,429,805,0,82,466,0,224,172,239,0,0,891,610,686,82,82,338,434,0,414,0,209,3328,0,30000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537
"15",2005,18,904,0,0,0,143,95,83,0,352,198,33,0,0,0,0,0,0,0,821,83,439,0,124,0,341,498,406,809,95,447,33,228,322,178,83,788,0,0,904,0,0,0,267,0,83,228,0,0,198,0,33,0,95,0,0,0,0,528,0,0,0,198,83,0,95,0,0,904,0,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904
"16",2005,19,428,0,0,0,107,99,0,0,0,222,0,0,0,0,0,0,0,0,230,198,428,0,0,0,0,123,305,321,107,107,0,0,0,321,99,123,0,0,99,123,99,0,0,0,0,0,123,0,99,0,99,0,0,0,0,0,107,0,99,0,0,0,0,99,123,0,0,428,0,26200,26200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
"17",2005,20,479,0,0,101,0,148,0,0,0,125,0,0,0,105,0,0,0,0,258,221,258,0,0,0,221,28,451,258,221,451,105,245,0,28,120,153,0,0,223,0,230,0,0,0,0,0,105,28,0,125,75,0,0,120,0,0,54,230,75,0,0,0,0,0,0,120,221,258,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479
"18",2005,21,63,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0,0,63,0,63,0,0,0,0,63,0,63,0,0,0,63,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,0,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"19",2005,22,407,0,0,55,0,0,55,0,86,211,0,0,0,0,0,0,0,0,141,266,86,0,211,0,110,266,141,352,55,86,0,55,86,211,211,141,0,0,55,211,0,86,55,0,0,0,0,0,0,0,0,211,0,86,0,0,141,55,0,0,0,0,0,0,0,211,55,352,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
"20",2005,23,2017,0,0,545,0,534,0,0,454,91,0,0,393,0,0,0,0,0,927,1090,1079,0,393,0,545,545,1472,545,1472,666,0,847,534,91,1090,927,0,0,1472,0,0,454,1170,454,0,0,0,0,0,0,393,0,0,0,0,0,91,927,545,454,0,0,0,0,0,0,0,2017,0,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"21",2005,24,7510,0,484,809,153,1536,810,688,990,301,182,543,155,566,91,69,133,0,4617,2893,3523,0,265,351,3371,1985,5525,4772,2738,3668,591,1713,1001,2759,1944,2843,0,64,3550,1121,810,0,299,638,695,420,135,146,0,763,858,663,626,116,122,0,3026,1294,1424,638,0,64,614,386,64,0,121,7389,0,20000,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7510
"22",2005,25,88547,1493,1662,7942,10284,17815,14211,11985,9143,5739,2869,2506,1662,484,358,394,0,0,40340,48207,47448,290,3895,1449,35465,11809,76738,37937,50610,60644,21594,25049,10931,9592,40697,29590,2616,1757,65705,947,8021,1110,16818,10934,2704,1844,7174,1018,6466,7438,11442,188,5822,2105,2152,608,16245,35904,10976,10546,641,10366,732,369,2160,608,8087,80460,0,19800,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88547
"23",2005,26,2159,0,0,302,173,176,346,531,351,184,96,0,0,0,0,0,0,0,1359,800,1414,0,0,0,745,622,1537,1277,882,275,113,329,151,1091,595,976,0,79,1666,190,0,0,172,0,372,183,0,0,534,0,333,0,180,0,82,0,933,179,483,0,0,113,451,0,0,0,104,2055,0,8500,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159
"24",2005,27,877,0,0,203,165,0,264,119,0,126,0,0,0,0,0,0,0,0,724,153,674,0,0,0,203,272,605,601,276,111,0,0,0,509,126,119,0,0,521,0,0,153,0,0,0,126,0,0,230,165,153,0,0,0,0,0,593,0,284,0,0,0,0,0,0,0,111,766,0,6400,7400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877
"25",2005,28,375,0,142,0,0,0,0,61,75,0,0,97,0,0,0,0,0,0,172,203,233,0,0,0,142,97,278,97,278,136,0,97,0,136,61,0,0,0,75,61,0,0,0,0,61,0,0,0,0,0,75,0,0,0,0,0,300,0,0,0,0,75,0,0,0,0,0,375,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
"26",2005,29,1067,0,0,0,201,514,79,96,65,112,0,0,0,0,0,0,0,0,568,499,332,0,20,0,715,661,406,240,827,512,0,533,175,158,380,236,0,0,535,65,236,0,82,205,65,0,96,0,0,236,0,0,152,0,0,0,231,236,237,205,0,93,65,0,0,0,360,707,0,7000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067
