"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"185",2008,50,0,0,0,233
"186",2008,51,40,802,336,1950
"187",2008,53,491,1103,270,839
"188",2008,55,0,246,198,370
"189",2009,1,164,0,178,277
"190",2009,2,96,0,105,88
"191",2009,4,250,0,545,617
"192",2009,5,0,99,0,137
"193",2009,6,2035,4090,6356,10422
"194",2009,8,0,87,714,1209
"195",2009,9,2567,4696,2053,3405
"196",2009,11,0,0,0,762
"197",2009,12,5923,13745,16649,23011
"198",2009,13,855,2741,3508,3237
"199",2009,15,145,0,267,457
"200",2009,16,98,0,0,112
"201",2009,17,0,298,539,2329
"202",2009,18,0,0,348,776
"203",2009,19,107,0,337,275
"204",2009,20,0,329,0,443
"205",2009,21,0,94,645,331
"206",2009,22,847,1057,47,1070
"207",2009,23,0,0,0,228
"208",2009,24,1957,1516,1173,2351
"209",2009,25,13908,21301,10980,10655
"210",2009,26,0,403,549,1237
"211",2009,27,143,523,567,470
"212",2009,28,0,0,45,0
"213",2009,29,0,111,131,619
"214",2009,30,0,0,0,0
"215",2009,31,0,186,53,206
"216",2009,32,0,322,267,627
"217",2009,33,1208,455,249,1507
"218",2009,34,6148,11723,5510,5812
"219",2009,35,0,0,0,98
"220",2009,36,2623,5870,4725,6858
"221",2009,37,1236,684,1434,873
"222",2009,39,174,250,658,1016
"223",2009,40,0,71,0,85
"224",2009,41,200,0,194,498
"225",2009,42,915,2841,935,2109
"226",2009,44,0,238,182,233
"227",2009,45,338,1118,23,483
"228",2009,46,0,0,0,0
"229",2009,47,0,53,186,449
"230",2009,48,570,2010,2510,7131
"231",2009,49,0,175,630,1055
"232",2009,50,0,0,42,0
"233",2009,51,191,816,1018,2780
"234",2009,53,223,363,939,1829
"235",2009,54,0,0,280,0
"236",2009,55,0,143,0,322
"237",2010,1,450,284,24,956
"238",2010,2,0,0,99,0
"239",2010,4,153,55,73,946
"240",2010,5,0,497,0,384
"241",2010,6,1910,3838,8068,13643
"242",2010,8,111,301,213,828
"243",2010,9,3654,6677,2814,2472
"244",2010,10,99,194,96,403
"245",2010,11,161,0,133,502
"246",2010,12,4973,17098,14984,20055
"247",2010,13,966,2920,1907,2831
"248",2010,15,0,129,529,358
"249",2010,16,0,0,749,50
"250",2010,17,230,616,1357,1750
"251",2010,18,0,80,0,314
"252",2010,19,0,0,163,115
"253",2010,20,0,0,264,685
"254",2010,21,0,206,219,406
"255",2010,22,284,1194,441,644
"256",2010,23,0,0,544,0
"257",2010,24,1153,1706,1516,2278
"258",2010,25,14376,28606,12274,7395
"259",2010,26,0,406,85,1910
"260",2010,27,0,275,532,906
"261",2010,28,0,190,0,0
"262",2010,29,0,318,0,1147
"263",2010,30,0,0,266,0
"264",2010,31,0,0,0,107
"265",2010,32,266,350,217,513
"266",2010,33,0,0,267,164
"267",2010,34,5654,13345,4266,4747
"268",2010,35,0,0,354,255
"269",2010,36,2678,4193,4973,8516
"270",2010,37,952,587,765,1320
"271",2010,39,46,241,282,1135
"272",2010,40,0,127,138,268
"273",2010,41,0,306,0,197
"274",2010,42,1933,2023,721,2190
"275",2010,44,142,422,164,485
"276",2010,45,370,991,703,430
"277",2010,47,0,0,0,762
"278",2010,48,689,1587,2648,5409
"279",2010,49,113,456,679,1731
"280",2010,50,0,196,0,84
"281",2010,51,73,112,1164,1199
"282",2010,53,225,474,474,1799
"283",2010,54,0,124,0,0
"284",2010,55,0,109,306,1006
"285",2011,1,199,0,116,1337
"286",2011,4,287,0,398,1045
"287",2011,5,0,0,144,174
"288",2011,6,1358,0,6495,16365
"289",2011,8,0,0,272,1081
"290",2011,9,3563,0,979,2473
"291",2011,10,0,0,0,1347
"292",2011,11,0,0,170,583
"293",2011,12,6313,0,11606,21111
"294",2011,13,494,0,1682,3340
"295",2011,15,0,0,534,28
"296",2011,16,0,0,0,79
"297",2011,17,382,0,392,2129
"298",2011,18,74,0,323,734
"299",2011,19,0,0,0,62
"300",2011,20,0,0,173,268
"301",2011,21,0,0,65,298
"302",2011,22,0,0,0,212
"303",2011,23,0,0,0,115
"304",2011,24,1482,0,1728,3657
"305",2011,25,9038,0,8040,12352
"306",2011,26,131,0,652,2014
"307",2011,27,523,0,216,2063
"308",2011,28,0,0,0,272
"309",2011,29,0,0,318,118
"310",2011,30,0,0,0,108
"311",2011,31,0,0,0,732
"312",2011,32,0,0,558,105
"313",2011,33,0,0,326,647
"314",2011,34,6475,0,5100,5262
"315",2011,35,0,0,105,35
"316",2011,36,1815,0,3734,9081
"317",2011,37,70,0,619,1499
"318",2011,39,199,0,219,232
"319",2011,40,0,0,461,447
"320",2011,41,70,0,304,324
"321",2011,42,1633,0,2445,1797
"322",2011,44,541,0,449,333
"323",2011,45,840,0,435,350
