"","year","state_code","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other"
"362",2012,34,1752,4561,136,0,1773,0,852,4255,0,380,927,0,1074,428
"363",2012,35,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"364",2012,36,1273,2115,1772,0,2497,479,567,2479,0,938,1637,0,443,0
"365",2012,37,424,37,1006,0,516,0,318,217,0,721,472,0,0,0
"366",2012,38,0,0,90,0,26,0,0,0,0,0,0,0,0,0
"367",2012,39,454,420,108,0,0,0,43,0,0,0,0,0,434,0
"368",2012,40,0,0,0,0,131,0,178,0,0,50,0,0,0,0
"369",2012,41,179,0,221,0,58,0,103,189,0,0,305,0,0,0
"370",2012,42,328,1127,239,0,728,0,668,1682,0,0,559,0,0,0
"371",2012,44,0,0,71,0,65,0,0,0,0,0,0,0,0,0
"372",2012,45,0,1350,0,0,113,0,227,0,0,239,0,0,0,0
"373",2012,46,131,0,0,0,0,0,0,0,0,0,0,0,0,0
"374",2012,47,0,0,157,0,0,0,135,0,0,0,0,0,0,0
"375",2012,48,847,104,558,0,397,208,557,996,0,124,1150,0,0,0
"376",2012,49,105,109,103,0,394,81,576,709,0,87,193,0,86,0
"377",2012,50,0,0,98,0,123,0,0,0,0,0,59,0,0,0
"378",2012,51,382,53,217,0,349,55,242,305,0,202,320,0,0,0
"379",2012,53,0,167,0,0,224,65,0,0,0,0,325,0,0,330
"380",2012,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381",2012,55,0,0,131,0,0,0,136,0,0,0,0,0,0,0
"382",2012,56,0,0,0,0,99,0,0,0,0,0,0,0,0,0
"383",2013,1,0,0,64,0,0,0,0,0,0,0,54,0,0,0
"384",2013,2,0,235,0,0,0,0,0,43,0,0,0,0,0,0
"385",2013,4,52,0,63,0,309,0,128,80,0,219,95,0,0,77
"386",2013,5,0,0,0,0,0,0,0,0,0,0,120,0,0,0
"387",2013,6,4044,885,2398,0,2245,1806,1486,3778,0,474,1427,0,1045,322
"388",2013,8,0,0,475,0,120,0,136,273,0,0,64,0,0,0
"389",2013,9,1289,3292,490,0,1129,267,766,1764,0,107,739,0,178,0
"390",2013,10,0,0,68,0,0,0,0,0,0,0,0,0,0,0
"391",2013,11,79,0,129,0,0,0,0,336,0,303,44,0,0,0
"392",2013,12,4401,6231,2409,0,4454,1024,2426,6568,0,922,6776,0,2374,328
"393",2013,13,383,578,588,0,642,362,538,924,0,52,633,0,157,43
"394",2013,15,214,0,0,0,0,0,45,93,0,0,0,0,0,0
"395",2013,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396",2013,17,0,78,436,0,269,0,743,238,0,0,223,0,79,0
"397",2013,18,0,0,44,0,412,67,544,0,0,0,0,0,0,0
"398",2013,19,378,0,59,0,0,0,0,0,0,0,0,0,0,0
"399",2013,20,166,0,0,0,608,0,0,179,0,0,0,0,0,0
"400",2013,21,0,0,39,0,0,0,124,0,0,0,0,0,0,0
"401",2013,22,74,690,58,0,132,0,0,0,0,0,63,0,0,0
"402",2013,23,0,0,0,0,0,0,0,229,0,0,0,0,0,0
"403",2013,24,152,839,570,0,423,85,0,473,0,141,65,0,228,0
"404",2013,25,7618,8894,2092,0,3664,474,1857,7011,0,476,3560,0,1328,814
"405",2013,26,331,0,88,0,267,52,210,0,0,36,192,0,86,0
"406",2013,27,0,0,0,0,560,0,409,0,0,0,0,0,0,0
"407",2013,29,0,0,115,0,117,0,0,0,0,0,0,0,113,0
"408",2013,30,39,194,198,0,0,0,0,0,0,0,0,0,0,0
"409",2013,31,0,0,106,0,0,0,0,0,0,0,0,0,0,0
"410",2013,32,89,63,244,0,64,0,124,78,0,0,114,0,0,0
"411",2013,33,288,0,68,0,64,0,121,0,0,0,125,0,0,0
"412",2013,34,2333,6188,544,0,2356,119,1534,3201,0,202,2301,0,80,606
"413",2013,35,0,210,225,0,0,0,130,0,0,0,0,0,0,0
"414",2013,36,3810,2839,2344,0,1213,1097,754,2472,0,584,1949,0,166,0
"415",2013,37,332,0,97,0,0,62,401,640,0,0,74,0,93,0
"416",2013,38,0,0,469,0,0,0,0,0,0,0,137,0,0,0
"417",2013,39,94,136,262,0,472,0,671,289,0,0,199,0,0,196
"418",2013,40,0,0,165,0,0,0,39,0,0,0,0,0,0,0
"419",2013,41,107,0,281,0,164,0,379,0,0,0,162,0,0,0
"420",2013,42,290,313,177,0,120,0,196,475,0,198,1344,0,86,0
"421",2013,44,58,335,204,0,138,0,50,159,0,0,93,0,0,0
"422",2013,45,76,1494,395,0,37,0,52,134,0,0,0,0,108,0
"423",2013,47,0,11,137,0,365,0,0,0,0,0,68,0,0,0
"424",2013,48,738,176,1107,0,882,91,1291,1261,0,658,1277,0,403,146
"425",2013,49,72,0,563,0,58,0,480,77,0,98,375,0,308,0
"426",2013,50,0,0,0,0,0,0,52,0,0,0,0,0,0,0
"427",2013,51,666,260,168,0,359,82,0,365,0,379,486,0,0,0
"428",2013,53,125,144,556,0,155,247,366,308,0,21,593,0,0,149
"429",2013,54,0,0,80,0,0,0,0,12,0,136,0,0,0,0
"430",2013,55,286,46,0,0,149,0,359,0,0,0,150,0,0,0
"431",2013,56,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"432",2014,1,292,0,219,0,0,0,0,0,0,0,63,0,0,0
"433",2014,2,0,0,0,0,123,0,0,0,0,0,0,0,0,0
"434",2014,4,0,0,238,40,665,67,189,149,180,0,0,378,48,0
"435",2014,5,0,0,79,179,0,0,98,0,0,0,0,0,0,0
"436",2014,6,3973,565,2116,1314,2482,1632,1842,3308,4610,270,1680,1306,732,141
"437",2014,8,71,254,0,135,67,0,148,0,85,0,0,0,120,0
"438",2014,9,1441,2969,338,971,166,165,161,1585,2826,153,283,298,61,69
"439",2014,10,30,0,0,0,0,0,0,37,0,0,0,0,0,0
"440",2014,11,165,59,0,0,153,0,0,59,290,152,0,0,0,0
"441",2014,12,4186,4701,2196,4153,3993,1475,2610,4931,9603,535,5376,2040,1463,560
"442",2014,13,348,147,390,72,393,36,417,908,1672,470,270,297,15,0
"443",2014,15,57,26,194,0,67,0,0,0,0,70,52,0,0,0
"444",2014,16,0,0,0,0,63,0,0,0,0,0,0,44,0,0
"445",2014,17,161,0,601,460,91,426,457,325,465,0,218,86,273,0
"446",2014,18,295,0,116,15,0,0,231,0,0,0,0,118,0,0
"447",2014,19,0,0,270,0,0,0,95,0,186,0,0,0,0,0
"448",2014,20,359,0,0,0,113,0,0,0,0,0,0,0,0,0
"449",2014,21,135,0,14,0,0,0,0,0,0,0,0,0,0,0
"450",2014,22,679,729,88,0,0,0,145,0,486,0,306,42,336,445
"451",2014,23,0,0,0,0,180,0,0,0,0,0,0,0,0,0
"452",2014,24,0,176,572,394,489,283,0,683,555,293,789,249,0,0
"453",2014,25,5162,8939,1415,1025,4093,0,4178,8217,10602,0,2622,1764,228,634
"454",2014,26,78,0,213,175,0,0,2114,85,357,0,398,138,124,0
"455",2014,27,321,156,135,0,296,0,587,0,160,0,628,48,0,0
"456",2014,28,0,0,191,0,35,0,0,0,0,39,131,0,0,0
"457",2014,29,0,0,297,0,284,67,81,56,349,0,0,411,0,0
"458",2014,31,137,0,0,0,0,0,0,0,0,0,0,0,0,0
"459",2014,32,1535,277,101,73,101,0,0,437,182,0,467,305,0,0
"460",2014,33,1007,0,106,0,10,0,61,0,383,245,318,17,0,0
"461",2014,34,1963,4956,1518,565,1969,210,1307,4149,3197,33,2083,1614,438,185
"462",2014,35,174,0,165,307,0,0,109,0,0,0,226,0,0,0
"463",2014,36,1475,1701,1406,1680,2604,459,1161,1894,2615,676,1489,90,65,252
"464",2014,37,118,834,22,39,172,0,666,220,869,115,524,0,0,0
"465",2014,38,391,0,0,0,0,0,0,0,0,0,0,65,0,0
"466",2014,39,63,102,310,972,341,269,887,412,59,109,88,322,0,0
"467",2014,40,593,0,0,0,0,0,0,0,0,0,131,115,0,0
"468",2014,41,0,58,20,0,0,0,233,0,188,98,69,152,0,0
"469",2014,42,567,4427,69,305,153,111,355,1475,2354,0,281,293,0,0
"470",2014,44,84,0,629,0,86,0,0,471,0,0,84,0,0,0
"471",2014,45,325,354,132,72,51,0,93,153,263,66,274,63,0,83
"472",2014,46,0,0,96,0,0,0,0,0,0,0,0,0,0,0
"473",2014,47,0,0,48,0,237,0,303,0,318,64,285,0,0,58
"474",2014,48,783,986,911,363,1297,93,1245,937,1692,488,456,1166,196,167
"475",2014,49,164,0,184,155,0,0,365,258,459,0,106,83,0,0
"476",2014,51,328,33,317,339,443,147,218,168,576,208,515,44,65,0
"477",2014,53,0,19,62,0,0,68,175,394,526,0,200,237,0,0
"478",2014,54,0,0,0,0,0,0,0,0,83,0,0,0,0,0
"479",2014,55,0,0,64,0,187,0,369,0,0,0,0,45,0,0
"480",2014,56,0,0,0,0,76,0,0,0,0,0,0,0,0,0
"481",2015,1,0,0,61,0,0,0,0,0,238,0,0,141,0,0
"482",2015,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0
"483",2015,4,0,0,198,71,192,0,0,26,99,84,54,0,117,0
"484",2015,5,0,0,0,0,0,95,0,0,0,0,0,0,0,0
"485",2015,6,2996,919,3561,1814,2401,1391,1412,2585,4728,839,1985,2074,579,315
"486",2015,8,191,152,538,185,0,0,158,0,357,140,89,94,0,0
"487",2015,9,532,3011,533,966,698,215,642,2339,2761,320,198,364,113,54
"488",2015,10,486,153,0,66,0,0,145,177,106,0,0,88,0,0
"489",2015,11,172,0,0,44,56,54,0,0,195,107,0,0,0,0
"490",2015,12,6850,7926,3435,4082,2849,659,2254,4503,9357,1349,6502,3447,2283,382
"491",2015,13,1165,577,512,231,666,706,690,2442,2299,178,367,44,0,145
"492",2015,15,269,0,0,0,171,70,161,0,242,0,427,54,0,0
"493",2015,16,0,0,80,0,74,0,387,0,86,0,0,0,0,0
"494",2015,17,100,0,1316,912,400,0,581,251,1067,0,521,0,143,0
"495",2015,18,438,195,999,0,55,0,464,0,91,92,38,73,0,0
"496",2015,19,0,0,265,0,302,0,0,0,0,0,0,0,0,0
"497",2015,20,0,16,373,0,0,0,208,0,182,0,0,0,0,0
"498",2015,21,0,0,0,89,418,0,0,0,76,0,0,0,0,0
"499",2015,22,0,298,100,154,241,0,61,0,36,0,0,253,0,0
"500",2015,23,269,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",2015,24,302,1333,551,157,868,0,112,888,1647,693,310,122,464,346
"502",2015,25,7067,10296,1978,1489,7188,64,1932,7619,9251,26,2807,1334,686,509
"503",2015,26,284,0,325,161,508,0,925,345,433,83,145,112,0,0
"504",2015,27,0,0,37,0,177,53,292,0,164,0,155,123,0,0
"505",2015,28,200,0,0,0,0,0,0,0,116,0,0,0,0,0
"506",2015,29,151,0,822,116,191,0,0,0,74,0,87,0,0,0
"507",2015,31,65,0,0,0,0,0,0,93,0,0,0,0,0,0
"508",2015,32,858,0,61,254,281,80,0,464,612,0,202,66,53,0
"509",2015,33,102,194,154,0,0,75,335,0,582,0,0,257,0,0
"510",2015,34,1602,3838,769,1389,2012,185,563,3440,4117,210,1101,969,305,0
"511",2015,35,0,0,71,0,202,0,0,0,0,0,0,0,0,0
"512",2015,36,1258,1446,1365,2151,1508,233,785,2380,2120,159,1475,636,102,0
"513",2015,37,409,414,803,248,370,0,0,410,500,0,112,73,0,0
"514",2015,38,0,0,41,0,26,0,0,0,0,0,0,0,0,0
"515",2015,39,238,203,217,241,130,0,1019,572,773,0,394,0,73,0
"516",2015,40,83,0,0,0,0,0,0,0,0,0,43,0,0,0
"517",2015,41,350,0,134,384,329,0,0,0,319,0,0,48,0,0
"518",2015,42,626,451,384,108,105,0,107,961,1801,143,0,33,89,0
"519",2015,44,0,194,0,0,56,0,0,0,197,0,0,0,0,0
"520",2015,45,349,485,122,140,174,0,550,275,323,0,139,47,0,135
"521",2015,47,169,0,145,0,0,0,56,0,64,0,0,0,0,0
"522",2015,48,1780,503,685,964,1906,271,1388,1462,2436,398,157,1480,245,0
"523",2015,49,0,31,224,0,698,37,788,14,399,0,0,165,0,0
"524",2015,50,0,0,0,0,74,0,0,0,0,0,0,0,0,0
"525",2015,51,252,203,936,442,159,90,0,362,1597,126,456,1312,40,102
"526",2015,53,721,116,0,70,0,68,156,139,1104,0,0,79,0,18
"527",2015,54,0,0,0,0,0,0,0,0,0,0,0,43,0,0
"528",2015,55,264,0,207,0,41,0,177,0,0,0,133,0,0,0
"529",2016,1,0,0,0,0,0,0,0,0,110,0,0,0,0,0
"530",2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"531",2016,4,122,0,533,0,263,0,339,0,737,79,0,0,0,0
"532",2016,5,0,0,122,0,0,0,0,0,0,0,0,0,0,0
"533",2016,6,3207,1424,2649,1960,3867,2956,3357,2319,5744,431,2592,3363,961,0
"534",2016,8,49,302,66,150,602,112,105,0,271,51,147,147,0,98
"535",2016,9,1283,4147,1449,532,1134,70,1069,3040,2895,116,1094,74,132,177
"536",2016,10,0,212,0,0,0,0,0,0,0,0,0,0,0,0
"537",2016,11,48,0,465,0,39,0,0,311,232,108,0,0,0,0
"538",2016,12,5860,5818,2303,6927,5230,753,2381,7598,11258,964,5487,3881,2555,196
"539",2016,13,602,838,535,837,566,194,1293,1525,2230,248,310,320,658,135
"540",2016,15,463,0,0,0,247,87,0,0,0,41,92,0,71,0
"541",2016,16,0,0,0,0,0,0,0,0,515,0,169,0,0,0
"542",2016,17,118,128,605,438,1091,0,439,83,291,0,656,0,0,0
"543",2016,18,119,0,66,10,420,0,0,77,351,0,0,0,0,0
"544",2016,19,0,0,75,0,0,0,0,0,0,178,0,0,0,0
"545",2016,20,295,0,86,0,0,0,205,0,72,114,173,0,0,0
"546",2016,21,0,0,364,0,0,0,71,0,210,0,84,0,88,0
"547",2016,22,202,158,94,0,207,0,78,0,250,0,55,0,141,27
"548",2016,23,0,0,324,0,144,0,0,0,0,0,0,0,0,0
"549",2016,24,429,966,552,429,1181,0,144,1131,1241,693,89,479,0,0
"550",2016,25,6382,11805,2944,1758,5466,410,2512,11466,8711,459,3348,2643,857,462
"551",2016,26,117,0,375,85,196,0,1626,0,175,62,450,156,0,0
"552",2016,27,158,0,168,10,213,0,36,0,43,0,432,0,0,0
"553",2016,28,0,0,450,0,0,0,0,0,0,0,0,0,0,0
"554",2016,29,577,155,0,0,109,0,92,0,125,0,0,0,0,0
"555",2016,30,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"556",2016,31,0,0,94,0,0,0,0,0,0,0,115,0,0,0
"557",2016,32,480,341,0,46,89,0,62,0,75,0,231,0,71,64
"558",2016,33,400,204,133,112,145,0,338,69,571,0,0,0,0,0
"559",2016,34,2234,4952,813,1260,998,327,2262,2370,2552,0,1332,1240,568,176
"560",2016,35,83,0,70,0,156,127,80,225,131,203,141,0,0,0
"561",2016,36,2191,2659,855,2350,2862,239,813,2461,2536,135,1236,852,344,428
"562",2016,37,681,363,548,197,525,0,724,566,814,67,112,0,138,0
"563",2016,38,0,0,0,0,54,0,0,0,0,0,0,0,0,0
"564",2016,39,0,0,36,123,121,0,451,77,141,0,176,339,0,0
"565",2016,40,0,0,107,0,364,136,0,133,0,0,209,0,0,0
"566",2016,41,114,214,278,58,423,71,565,0,275,96,137,354,0,0
"567",2016,42,285,1737,48,0,823,0,2271,1409,1499,89,816,481,266,329
"568",2016,44,0,91,105,0,518,0,218,0,0,0,355,0,0,0
"569",2016,45,358,272,73,0,252,0,494,505,99,0,333,140,0,0
"570",2016,47,86,187,0,0,147,0,108,0,0,0,169,69,0,136
"571",2016,48,1546,0,1182,437,1929,361,2019,924,2207,193,1184,1029,412,259
"572",2016,49,718,0,242,286,438,0,580,190,726,153,183,316,0,0
"573",2016,50,0,0,59,0,0,0,0,0,0,0,0,0,0,0
"574",2016,51,327,0,573,358,754,76,66,847,770,256,298,51,229,0
"575",2016,53,0,0,448,90,352,0,0,104,542,361,322,529,0,0
"576",2016,54,272,0,0,0,43,0,0,45,78,0,0,0,76,0
"577",2016,55,0,0,0,0,0,0,228,0,127,0,217,288,0,0
"578",2016,56,0,0,36,0,0,0,0,0,0,75,0,0,0,0
"579",2017,1,43,110,0,0,227,0,0,304,0,0,265,0,0,0
"580",2017,2,0,0,0,0,0,0,0,0,0,73,0,0,0,0
"581",2017,4,331,0,127,246,50,71,0,161,697,0,262,0,119,0
"582",2017,5,0,0,234,0,230,0,0,76,0,92,43,0,172,0
"583",2017,6,3398,1414,2702,2723,4845,1958,1699,3393,7525,1129,3915,2734,1138,238
"584",2017,8,188,204,0,228,149,0,434,65,115,0,0,39,0,0
"585",2017,9,809,2892,338,631,865,62,684,3453,2247,210,1089,384,0,59
"586",2017,10,59,104,0,0,0,0,0,0,67,0,0,0,0,0
"587",2017,11,61,0,213,31,0,0,0,218,445,418,42,0,0,0
"588",2017,12,6121,11908,5461,5857,5083,1467,5509,7254,14230,1357,5884,3953,3290,1377
"589",2017,13,755,1411,669,294,1096,86,761,1533,2574,0,655,381,70,0
"590",2017,15,0,0,53,96,0,0,0,58,833,0,0,0,0,0
"591",2017,16,0,0,0,29,82,0,0,274,0,0,0,0,0,0
"592",2017,17,400,77,394,576,433,186,971,1194,756,0,767,381,116,0
"593",2017,18,223,0,434,0,0,14,831,114,104,0,232,0,0,0
"594",2017,19,0,0,781,428,0,0,0,0,0,0,31,0,0,0
"595",2017,20,0,96,10,133,89,0,161,97,232,0,0,0,0,0
"596",2017,21,281,166,0,0,0,0,239,0,198,0,62,389,0,0
"597",2017,22,0,945,56,0,0,0,80,95,315,106,0,88,0,0
"598",2017,23,315,0,534,0,246,0,0,201,0,0,0,0,0,0
"599",2017,24,343,443,978,97,678,161,0,517,1744,673,469,304,0,0
"600",2017,25,10253,14114,2680,2708,5495,799,3078,8631,11478,294,3087,1626,645,1393
"601",2017,26,140,0,1199,113,549,0,1326,0,728,0,138,0,0,0
"602",2017,27,0,178,358,0,558,0,526,421,226,336,0,77,0,0
"603",2017,28,120,0,0,149,71,0,0,0,0,0,0,0,0,0
"604",2017,29,151,98,88,88,411,103,1347,0,152,161,102,205,0,0
"605",2017,30,0,0,244,0,0,0,0,0,0,0,0,0,0,0
"606",2017,31,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"607",2017,32,154,303,72,123,120,0,0,245,235,0,1193,322,0,157
"608",2017,33,364,0,0,0,239,0,75,32,307,0,326,0,0,0
"609",2017,34,1821,6296,1050,610,1162,74,1860,3893,3062,249,1726,1095,334,361
"610",2017,35,0,0,96,0,106,107,0,91,0,0,0,0,0,0
"611",2017,36,1677,1118,1495,2864,2430,1064,1067,1407,3096,445,956,1456,205,96
"612",2017,37,702,0,738,206,298,0,1097,443,1521,113,622,0,509,0
"613",2017,38,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"614",2017,39,847,0,0,308,28,0,382,210,181,0,66,52,37,0
"615",2017,40,133,114,111,0,87,0,42,92,179,0,0,346,0,0
"616",2017,41,81,192,207,51,309,0,24,0,184,418,123,214,0,0
"617",2017,42,1929,984,443,162,1167,121,273,276,2140,17,751,0,0,0
"618",2017,44,51,208,0,176,0,0,62,0,223,61,207,117,51,0
"619",2017,45,309,1055,312,153,0,0,140,120,371,0,0,0,66,69
"620",2017,47,70,0,177,0,47,0,278,198,58,0,0,61,0,89
"621",2017,48,1411,518,1772,1459,865,220,1213,556,2659,207,550,2304,534,98
"622",2017,49,311,151,455,394,464,0,0,135,1471,0,1014,221,0,0
"623",2017,50,0,0,0,0,45,0,0,0,0,0,0,130,0,0
"624",2017,51,77,287,1025,76,516,401,259,778,638,528,74,126,0,0
"625",2017,53,693,615,518,148,1491,219,0,363,826,424,308,144,0,0
"626",2017,54,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"627",2017,55,0,263,0,0,328,0,71,128,108,0,25,0,0,0
"628",2017,56,0,0,0,0,56,0,0,0,0,184,0,0,0,0
"629",2018,1,61,0,0,0,147,0,0,0,867,0,94,0,0,0
"630",2018,2,0,0,0,0,0,0,0,0,0,0,296,0,44,0
"631",2018,4,445,228,160,204,0,66,113,413,115,0,0,95,67,78
"632",2018,5,48,0,197,0,13,0,115,58,0,0,137,0,0,0
"633",2018,6,4408,918,2544,2302,2884,1561,2930,1945,6377,1209,2878,3455,2061,108
"634",2018,8,77,0,0,185,199,0,274,48,502,0,106,63,233,90
"635",2018,9,456,3615,1171,513,1588,65,1585,3432,3736,0,1269,173,60,121
"636",2018,10,0,76,137,0,223,0,118,60,0,0,213,0,0,0
"637",2018,11,47,0,120,59,42,0,0,181,421,140,35,0,0,79
"638",2018,12,6766,10359,3990,6097,8062,3257,3495,5302,15506,1571,5961,3646,3062,289
"639",2018,13,585,743,384,513,622,324,133,1850,4226,564,778,335,196,0
"640",2018,15,0,0,0,0,0,0,0,538,0,0,27,0,0,0
"641",2018,16,0,0,0,0,0,91,0,0,0,0,0,0,0,0
"642",2018,17,495,0,167,185,483,221,665,164,822,0,532,888,134,0
"643",2018,18,0,0,165,36,493,0,328,0,376,0,136,67,65,0
"644",2018,19,10,0,772,0,0,0,0,0,99,0,0,0,0,0
"645",2018,20,996,456,531,0,0,0,0,0,70,0,80,0,0,0
"646",2018,21,88,26,45,93,0,0,227,0,0,0,0,0,0,0
"647",2018,22,0,625,207,106,0,0,0,452,465,0,619,366,0,0
"648",2018,24,644,1195,277,195,916,0,308,1423,1576,893,176,650,0,0
"649",2018,25,7666,11265,3215,1900,6573,274,2315,10328,13853,317,3143,4412,185,655
"650",2018,26,47,0,626,0,587,0,1559,55,57,99,524,123,0,86
"651",2018,27,0,0,447,608,383,0,232,276,173,0,0,0,202,0
"652",2018,28,0,0,63,241,257,0,0,0,0,0,0,71,0,134
"653",2018,29,164,38,165,0,126,0,0,0,105,755,443,0,158,0
"654",2018,30,150,0,0,0,0,0,0,0,0,0,0,0,0,0
"655",2018,31,0,0,0,0,876,0,692,0,0,0,0,106,0,0
"656",2018,32,249,68,359,203,174,0,249,292,130,0,218,0,0,0
"657",2018,33,137,102,0,0,245,0,395,62,280,0,61,98,0,0
"658",2018,34,1458,6002,1557,2421,2758,311,1628,4920,3343,895,1674,1355,615,154
"659",2018,35,0,0,332,0,67,0,0,0,43,114,163,0,0,0
"660",2018,36,2236,1800,2953,2192,1701,129,618,2338,3908,658,1538,485,346,269
"661",2018,37,298,746,465,195,562,0,669,552,516,0,390,499,0,0
"662",2018,39,336,0,495,158,653,0,311,48,466,100,112,162,0,0
"663",2018,40,0,0,0,0,353,0,0,765,148,0,0,0,0,0
"664",2018,41,49,114,746,0,154,0,277,95,291,163,0,0,0,0
"665",2018,42,352,2190,318,712,665,97,1218,764,1537,86,256,124,0,499
"666",2018,44,0,527,68,100,210,0,147,0,513,0,354,0,0,0
"667",2018,45,103,543,69,0,146,0,676,57,316,0,324,0,0,0
"668",2018,47,350,58,393,0,283,53,160,100,115,177,156,0,0,0
"669",2018,48,1516,779,1268,666,1013,117,2585,1036,3047,224,353,1684,199,188
"670",2018,49,703,81,696,232,187,180,27,368,1294,0,315,215,0,0
"671",2018,50,0,0,0,0,0,0,44,0,0,0,0,0,0,0
"672",2018,51,334,271,1136,71,892,0,381,510,770,556,591,286,0,83
"673",2018,53,147,733,161,160,676,175,111,1177,1893,0,477,230,0,0
"674",2018,54,54,0,74,0,0,0,0,0,0,0,129,0,0,0
"675",2018,55,0,0,385,0,0,0,746,0,0,0,75,16,0,0
"676",2019,1,128,231,0,333,0,0,45,0,316,0,76,0,0,0
"677",2019,2,0,0,0,0,0,0,0,0,0,0,89,178,0,0
"678",2019,4,500,0,306,61,397,0,390,556,438,0,133,411,80,0
"679",2019,5,0,0,0,0,0,0,0,0,0,0,69,142,0,0
"680",2019,6,2822,1261,2618,3239,2893,1766,2264,4102,6299,972,2739,5086,959,786
"681",2019,8,153,106,795,211,255,0,39,0,582,35,88,104,0,0
"682",2019,9,2191,2421,1089,584,939,56,1351,1469,3820,366,813,2414,84,124
"683",2019,10,0,0,0,0,45,0,71,23,0,0,148,0,0,0
"684",2019,11,0,0,106,149,56,0,0,109,102,591,0,228,0,0
"685",2019,12,5828,9290,4773,7791,4938,2101,2930,6033,13855,1330,6720,4958,1788,259
"686",2019,13,966,2501,1222,620,721,219,1273,1072,1141,301,1064,470,264,48
"687",2019,15,115,0,90,0,0,0,0,145,0,0,410,210,67,0
"688",2019,16,159,0,101,0,43,0,0,0,0,0,0,10,0,0
"689",2019,17,766,132,315,700,188,0,289,939,868,0,216,505,109,72
"690",2019,18,83,0,612,0,98,0,55,89,59,304,133,114,0,0
"691",2019,19,0,0,12,0,34,0,0,0,0,0,0,0,0,0
"692",2019,20,232,317,97,81,241,0,384,476,207,0,209,0,0,0
"693",2019,21,0,188,728,0,160,0,201,0,0,0,0,0,0,0
"694",2019,22,440,84,227,0,84,0,0,54,0,114,0,124,97,0
"695",2019,23,234,0,0,0,75,0,138,0,0,162,0,0,0,0
"696",2019,24,378,309,324,565,425,0,113,893,691,520,222,0,0,517
"697",2019,25,7472,20208,3227,2807,4934,679,2779,6931,14544,1135,3292,4381,641,324
"698",2019,26,105,222,206,154,1093,0,1524,0,571,0,394,83,89,0
"699",2019,27,0,0,473,0,158,0,750,0,454,242,483,161,0,0
"700",2019,28,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"701",2019,29,0,53,276,0,13,13,160,0,305,0,0,183,0,0
"702",2019,30,0,0,0,0,0,178,0,0,0,0,0,0,0,0
"703",2019,31,0,0,341,0,0,0,0,77,74,120,160,0,0,0
"704",2019,32,1381,60,0,226,154,49,193,61,490,0,945,406,50,0
"705",2019,33,749,0,112,292,93,71,223,0,1002,0,362,213,0,0
"706",2019,34,4046,7292,1224,2246,1367,33,1021,3544,6268,0,2703,1920,857,0
"707",2019,35,0,71,74,39,0,0,0,70,0,0,0,0,0,0
"708",2019,36,1942,3256,2703,2451,1355,929,1581,2899,2691,777,1320,1029,549,0
"709",2019,37,717,1209,680,259,357,57,83,820,263,0,534,140,0,0
"710",2019,39,912,82,326,0,1139,0,599,303,192,81,102,295,115,0
"711",2019,40,0,0,0,0,294,0,0,0,327,0,0,0,0,0
"712",2019,41,253,0,490,0,84,0,435,0,289,18,0,0,0,0
"713",2019,42,346,1606,863,230,757,0,1212,1940,644,0,1107,712,0,70
"714",2019,44,0,0,142,486,271,0,621,0,117,0,110,335,0,135
"715",2019,45,415,1074,150,164,245,0,307,916,811,0,108,49,0,0
"716",2019,47,291,340,258,52,109,0,529,286,93,0,82,0,0,0
"717",2019,48,908,0,1578,1030,1352,239,1437,599,3278,96,1306,1404,630,117
"718",2019,49,55,282,138,689,0,138,413,520,1707,113,456,328,21,0
"719",2019,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"720",2019,51,304,808,453,382,1099,110,79,247,506,298,189,95,0,0
"721",2019,53,799,785,466,71,92,15,0,698,2382,239,1007,85,0,0
"722",2019,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"723",2019,55,115,0,0,0,0,0,249,0,349,0,12,0,0,0
