"","year","state_code","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other"
"82",2006,42,1078,569,84,137,182,0,179,1025,196,0,695,0,0,0
"83",2006,44,526,709,0,0,159,0,127,0,579,0,186,59,62,0
"84",2006,45,376,0,166,50,60,0,216,301,92,0,93,149,132,0
"85",2006,46,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"86",2006,47,128,0,48,0,0,0,203,0,252,0,0,0,0,0
"87",2006,48,479,334,1035,268,1581,444,506,1156,306,185,203,831,129,275
"88",2006,49,387,0,0,135,285,0,505,461,463,0,148,153,48,0
"89",2006,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2006,51,987,573,231,816,130,406,109,938,524,148,279,896,0,0
"91",2006,53,0,0,257,0,0,161,0,0,790,0,427,0,0,0
"92",2006,54,123,0,0,0,0,0,0,65,91,0,0,0,0,0
"93",2006,55,118,0,19,0,133,0,0,0,0,0,116,0,0,0
"94",2007,1,0,0,0,298,0,0,0,0,0,66,15,0,0,0
"95",2007,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"96",2007,4,0,0,56,159,0,63,249,224,147,0,122,52,0,0
"97",2007,5,0,0,0,0,0,0,0,0,0,0,0,0,57,0
"98",2007,6,3091,1590,2332,1298,1600,2265,1463,2640,2753,384,3911,1782,1027,0
"99",2007,8,264,0,57,0,49,76,0,0,168,0,104,207,56,0
"100",2007,9,2002,4021,458,246,367,157,760,2529,2279,0,757,690,339,0
"101",2007,10,0,209,0,0,0,0,0,0,119,0,0,117,0,0
"102",2007,11,77,0,86,0,140,130,0,153,168,86,58,151,0,0
"103",2007,12,5568,15887,1814,4763,3460,956,3523,8257,7935,249,5042,2573,2179,255
"104",2007,13,591,2210,231,266,716,144,1171,2437,1371,349,875,135,170,0
"105",2007,15,0,142,0,106,0,0,132,0,0,0,0,0,45,0
"106",2007,16,0,0,0,0,243,0,0,0,0,0,0,0,0,0
"107",2007,17,0,515,459,91,621,74,380,442,418,0,201,0,0,0
"108",2007,18,0,246,292,0,265,0,53,0,475,0,0,89,0,0
"109",2007,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2007,20,0,0,238,0,0,0,0,124,0,0,0,0,0,0
"111",2007,21,0,0,115,69,321,0,0,0,0,106,0,375,0,0
"112",2007,22,0,2908,46,0,84,0,0,32,91,0,0,0,199,0
"113",2007,23,139,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2007,24,60,1583,96,332,153,215,109,723,861,156,56,0,0,65
"115",2007,25,13711,12503,1509,969,2282,594,3842,6728,10694,239,2706,1195,950,0
"116",2007,26,191,0,271,0,92,0,399,687,151,0,86,0,0,0
"117",2007,27,301,0,398,119,0,0,240,0,0,0,419,0,0,0
"118",2007,28,0,0,0,0,0,0,395,0,0,0,0,0,0,0
"119",2007,29,426,0,130,0,0,0,110,0,166,0,114,0,0,0
"120",2007,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2007,31,0,0,115,0,0,0,0,0,0,0,119,0,0,0
"122",2007,32,478,346,105,436,64,0,112,537,90,0,0,58,0,0
"123",2007,33,116,103,0,0,518,0,582,0,83,0,0,0,0,0
"124",2007,34,2379,10820,252,1317,685,0,1253,4297,4483,144,2187,1489,639,71
"125",2007,35,74,0,0,0,76,0,0,0,0,0,0,0,0,0
"126",2007,36,2015,2897,619,800,2492,395,1417,4785,2779,144,180,659,85,416
"127",2007,37,68,370,491,153,293,0,0,121,251,0,254,102,78,0
"128",2007,38,0,0,0,0,0,0,0,0,0,0,69,0,0,0
"129",2007,39,196,0,0,85,155,0,240,0,377,0,237,0,0,0
"130",2007,40,100,0,117,0,0,0,124,35,0,114,0,0,0,0
"131",2007,41,79,227,180,0,49,0,105,0,220,0,80,0,64,0
"132",2007,42,136,1587,341,0,91,0,468,1618,0,0,1703,254,0,0
"133",2007,44,231,181,235,0,0,0,0,0,194,0,143,0,60,0
"134",2007,45,307,256,419,0,61,0,50,75,0,0,97,58,0,0
"135",2007,47,0,0,0,0,0,0,145,68,0,0,159,54,0,0
"136",2007,48,1078,244,1029,67,927,73,403,559,972,0,197,772,669,228
"137",2007,49,274,0,96,0,171,0,540,95,776,0,96,148,0,0
"138",2007,51,324,443,256,296,144,0,69,606,422,510,0,0,0,0
"139",2007,53,0,0,88,80,281,195,269,109,136,59,81,0,0,0
"140",2007,54,0,0,0,0,0,95,0,0,0,0,0,72,0,0
"141",2007,55,97,0,116,0,68,0,0,0,0,0,0,0,0,0
"142",2007,56,0,0,0,0,0,0,0,0,0,0,0,55,0,0
"143",2008,1,0,0,82,0,0,0,0,0,94,0,0,0,0,0
"144",2008,2,0,0,138,0,0,0,0,0,0,0,0,0,0,0
"145",2008,4,60,61,404,0,0,0,242,0,173,59,58,0,0,0
"146",2008,5,136,0,72,0,0,95,0,0,0,0,83,0,0,0
"147",2008,6,2662,1218,1690,1091,2478,932,1718,4766,2100,824,1421,886,485,244
"148",2008,8,142,0,220,0,317,235,0,0,219,133,0,63,0,0
"149",2008,9,69,2678,221,676,741,0,612,1703,2405,73,1699,898,104,0
"150",2008,11,0,0,0,70,0,0,0,0,312,0,93,0,0,0
