"","year","state_code","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus"
"70",2006,29,0,0,439,0,0,0,218,0,0,0,0,0,0,0,0,0,0
"71",2006,30,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0
"72",2006,31,0,0,440,0,0,0,0,0,106,101,0,0,0,0,0,0,0
"73",2006,32,0,0,74,120,70,0,58,59,58,111,129,0,0,208,0,0,0
"74",2006,33,0,79,23,200,186,165,392,356,360,0,0,59,360,0,0,0,0
"75",2006,34,0,752,2501,4797,5341,4918,5374,6091,4244,2094,1034,608,757,116,0,58,0
"76",2006,35,0,0,74,243,0,0,0,264,0,0,0,0,0,0,0,0,0
"77",2006,36,157,664,417,1154,3012,2888,3107,4490,1568,1124,1144,631,1225,172,404,67,93
"78",2006,37,0,77,84,870,460,591,257,206,355,59,89,67,0,0,0,0,0
"79",2006,39,0,0,583,193,402,103,205,246,68,0,94,0,0,0,0,0,0
"80",2006,40,0,0,98,84,0,162,83,103,0,0,0,0,0,0,0,0,0
"81",2006,41,0,0,226,302,297,152,0,285,88,213,0,0,95,0,91,0,0
"82",2006,42,0,0,270,0,564,199,1235,1354,356,98,226,113,300,0,31,0,0
"83",2006,44,0,0,0,418,323,567,458,380,0,0,260,156,65,0,0,0,0
"84",2006,45,0,0,0,235,733,99,0,0,299,246,149,0,0,93,0,0,112
"85",2006,46,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2006,47,0,77,284,89,0,148,127,228,0,0,0,0,0,0,0,0,0
"87",2006,48,213,409,1050,595,1861,982,1948,1267,993,455,81,562,422,384,70,0,0
"88",2006,49,207,0,75,235,585,578,133,532,273,249,0,0,0,0,0,0,0
"89",2006,50,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,69,0
"90",2006,51,0,0,782,1327,651,1017,751,1138,596,620,208,269,0,0,0,48,51
"91",2006,53,85,0,30,269,374,318,313,69,218,267,0,72,199,68,0,0,0
"92",2006,54,0,0,0,123,91,0,0,0,65,0,0,0,0,0,0,0,0
"93",2006,55,0,0,0,118,152,0,0,67,0,0,0,0,116,0,0,0,0
"94",2007,1,0,0,131,0,0,66,0,313,0,0,0,0,0,0,0,0,0
"95",2007,2,0,0,0,0,0,71,50,35,0,0,0,0,0,0,0,0,0
"96",2007,4,0,0,0,0,249,141,0,0,290,147,353,56,189,75,0,92,0
"97",2007,5,0,73,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
"98",2007,6,0,384,1936,2522,4731,3944,4158,2911,3179,2779,2257,771,1070,272,704,268,0
"99",2007,8,0,0,167,104,93,247,156,133,87,0,264,0,0,0,0,0,0
"100",2007,9,611,522,1169,1924,1905,3196,2914,3187,1488,188,398,109,108,83,57,0,0
"101",2007,10,0,20,204,119,0,0,326,0,0,14,0,0,0,0,0,0,0
"102",2007,11,0,135,0,200,0,98,86,53,58,220,173,0,84,162,0,152,119
"103",2007,12,1393,1292,5695,9438,9130,10558,7575,10349,8274,5039,1952,3123,1074,702,208,846,475
"104",2007,13,204,371,1301,2417,1591,1636,2917,1867,641,455,326,210,0,0,0,59,0
"105",2007,15,0,0,103,0,45,51,175,132,0,68,0,0,0,0,106,0,0
"106",2007,16,0,0,17,0,0,0,0,0,243,0,0,0,0,0,0,0,0
"107",2007,17,0,98,325,312,648,353,191,407,265,717,186,396,113,145,65,0,0
"108",2007,18,0,0,165,0,422,379,340,359,0,0,103,118,0,0,0,0,0
"109",2007,19,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2007,20,0,0,143,0,124,0,0,0,0,0,238,0,0,0,0,0,0
"111",2007,21,0,0,0,113,262,321,115,175,0,0,0,0,0,0,0,0,0
"112",2007,22,0,0,0,0,1149,199,593,885,91,359,84,0,0,0,0,0,0
"113",2007,23,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
"114",2007,24,0,220,602,1222,305,190,742,956,687,553,301,323,131,103,0,0,0
"115",2007,25,243,1484,4560,7291,12811,13074,9244,7858,6132,1797,1975,663,431,69,155,116,0
"116",2007,26,0,95,65,253,153,431,188,410,54,706,271,0,0,0,0,101,0
"117",2007,27,0,0,118,817,273,92,0,0,176,119,0,0,0,0,0,0,0
"118",2007,28,0,0,0,0,210,0,0,0,0,269,185,0,0,0,0,0,0
"119",2007,29,0,0,96,0,64,85,440,81,114,0,130,0,0,0,0,0,0
"120",2007,30,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0
"121",2007,31,0,0,0,0,115,0,0,0,0,0,119,0,0,0,0,0,0
"122",2007,32,0,0,115,0,53,557,0,254,58,907,82,207,261,332,0,0,0
"123",2007,33,0,0,0,482,103,0,83,92,509,177,0,97,0,0,0,0,0
"124",2007,34,0,412,2501,3891,4341,4494,6519,5892,2772,2186,1976,1289,502,391,0,107,63
"125",2007,35,0,0,0,0,0,0,0,0,0,0,71,150,0,0,0,0,0
"126",2007,36,0,107,1246,1252,1834,3924,2973,3822,2935,2359,1680,433,708,863,203,520,68
"127",2007,37,0,135,260,318,313,497,210,183,207,212,173,58,175,0,0,97,0
"128",2007,38,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
"129",2007,39,0,0,102,114,544,148,85,0,89,393,64,0,95,92,0,0,0
"130",2007,40,0,0,100,608,146,114,0,95,0,35,0,0,0,0,0,0,0
"131",2007,41,0,0,81,80,326,0,70,296,337,0,169,0,0,0,0,0,0
"132",2007,42,192,72,130,1274,2034,1205,1002,962,117,91,0,109,161,0,0,0,0
"133",2007,44,0,201,452,143,194,198,0,160,181,75,60,0,0,0,0,0,0
"134",2007,45,0,392,593,526,350,217,0,397,108,0,0,0,75,0,0,0,0
"135",2007,47,0,0,12,68,0,84,145,54,75,0,0,0,0,88,0,0,0
"136",2007,48,0,601,1577,617,601,2052,783,1209,1132,506,221,266,278,0,0,350,0
"137",2007,49,0,107,109,671,514,179,550,240,237,195,0,0,75,56,0,0,88
"138",2007,51,0,106,978,99,261,254,258,554,179,361,234,71,88,126,24,0,0
"139",2007,53,0,0,185,0,291,340,164,99,161,170,0,0,245,0,0,0,0
"140",2007,54,0,0,196,0,0,0,0,167,0,0,0,0,0,0,0,0,0
"141",2007,55,0,0,213,68,0,0,0,0,0,0,0,0,0,0,0,134,0
"142",2007,56,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
"143",2008,1,0,0,121,176,119,0,0,0,0,0,0,0,0,0,0,0,57
"144",2008,2,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
"145",2008,4,0,0,128,112,0,320,111,60,124,85,120,0,58,61,91,0,68
"146",2008,5,0,0,87,136,0,0,178,95,114,64,83,0,0,0,0,156,0
"147",2008,6,91,141,1955,2737,4127,3818,3039,4763,2198,1865,1247,385,829,318,335,256,0
"148",2008,8,0,0,68,355,56,183,268,150,95,154,0,0,0,0,0,0,0
"149",2008,9,0,212,1603,2138,1679,2323,1034,1735,1583,649,450,367,176,0,0,77,0
"150",2008,11,0,0,0,0,0,0,70,165,240,0,0,0,0,0,0,0,0
"151",2008,12,293,446,6128,4061,7751,8157,8304,8585,7096,4449,3273,2499,1153,353,585,165,59
"152",2008,13,0,246,1643,638,1522,1320,2604,1406,955,1397,286,122,0,0,0,74,0
"153",2008,15,0,212,451,311,0,0,198,52,96,0,71,0,0,0,0,0,0
"154",2008,16,0,0,0,0,0,0,199,285,0,0,0,0,0,0,0,0,0
"155",2008,17,0,0,303,602,596,292,1008,1365,495,501,106,174,0,0,103,0,0
"156",2008,18,0,0,0,0,896,93,207,0,0,77,74,0,0,0,95,0,0
"157",2008,19,0,0,0,143,85,92,0,0,206,0,0,0,0,0,0,0,0
"158",2008,20,0,0,33,0,63,0,0,0,0,0,0,0,0,0,0,0,0
"159",2008,21,0,0,254,78,0,0,102,498,224,0,0,0,0,0,0,0,0
"160",2008,22,0,0,327,120,0,282,454,231,248,616,0,0,0,0,0,0,0
"161",2008,23,0,0,92,0,0,0,0,0,0,52,0,0,0,0,128,0,0
"162",2008,24,0,336,419,439,413,483,587,284,701,614,216,13,0,144,0,0,0
"163",2008,25,107,1720,6640,7311,9358,12221,11550,9989,4179,4790,1592,565,370,298,195,0,197
