"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"106",2007,16,116,0,0,0,0,0,0,0,127,0
"107",2007,17,993,484,508,78,447,176,234,108,173,0
"108",2007,18,521,0,96,0,0,246,410,0,147,0
"109",2007,19,0,0,0,0,0,0,0,0,0,0
"110",2007,20,0,124,0,0,0,0,238,0,0,0
"111",2007,21,106,0,69,0,262,113,436,0,0,0
"112",2007,22,199,123,0,2908,0,0,0,0,130,0
"113",2007,23,0,139,0,0,0,0,0,0,0,0
"114",2007,24,1654,1011,467,783,0,91,169,89,80,65
"115",2007,25,3673,28507,5799,11357,616,6232,1014,172,350,202
"116",2007,26,310,930,465,0,0,118,0,54,0,0
"117",2007,27,0,523,909,0,0,45,0,0,0,0
"118",2007,28,185,0,0,0,0,210,0,0,0,0
"119",2007,29,195,330,195,0,0,0,130,96,0,0
"120",2007,30,0,0,0,0,0,0,0,0,0,0
"121",2007,31,0,0,119,0,0,0,115,0,0,0
"122",2007,32,140,879,436,346,0,222,53,150,0,0
"123",2007,33,200,457,177,0,0,485,83,0,0,0
"124",2007,34,1732,9494,4260,10026,870,2611,248,269,371,135
"125",2007,35,0,76,0,0,0,0,0,74,0,0
"126",2007,36,3302,6579,2502,2795,0,1273,422,1377,1017,416
"127",2007,37,442,395,543,370,0,0,389,0,42,0
"128",2007,38,0,0,69,0,0,0,0,0,0,0
"129",2007,39,145,298,699,0,0,0,148,0,0,0
"130",2007,40,0,157,114,0,0,124,95,0,0,0
"131",2007,41,189,185,339,227,0,0,0,64,0,0
"132",2007,42,189,1549,1709,1587,79,619,341,34,91,0
"133",2007,44,0,429,434,181,0,0,0,0,0,0
"134",2007,45,50,0,277,256,0,61,372,307,0,0
"135",2007,47,229,68,0,0,0,54,0,0,75,0
"136",2007,48,938,1833,1484,244,265,980,663,188,395,228
"137",2007,49,586,898,712,0,0,0,0,0,0,0
"138",2007,51,590,948,530,443,0,109,68,313,69,0
"139",2007,53,538,143,140,0,0,108,88,0,281,0
"140",2007,54,95,0,0,0,0,72,0,0,0,0
"141",2007,55,0,0,0,0,0,97,116,0,68,0
"142",2007,56,0,0,0,0,0,55,0,0,0,0
"143",2008,1,391,82,0,0,0,0,0,0,0,0
"144",2008,2,0,0,0,0,0,0,138,0,0,0
"145",2008,4,472,170,121,61,0,111,343,60,0,0
